tag_level2,ct_mean__mean,ct_mean__std,ct_p95__mean,ct_p95__std,run_time_mean__mean,run_time_mean__std,run_time_p95__mean,run_time_p95__std,dev_sum__mean,dev_sum__std,dev_p95__mean,dev_p95__std,fail_rate__mean,fail_rate__std,failw_rate__mean,failw_rate__std,n_fail__mean,n_fail__std,n_total__mean,n_total__std
10,1.2333333333334953,0.008164965809754822,1.2333333333334953,0.008164965809754822,26.116666666666664,0.3311595788538606,26.116666666666664,0.3311595788538606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
100,1.2416666666666742,0.020412414523352792,1.2416666666666742,0.020412414523352792,29.116666666666664,2.994272310039062,29.116666666666664,2.994272310039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1000,1.2550000000001091,0.01048808848158358,1.2550000000001091,0.01048808848158358,28.516666666666666,3.066865935554841,28.516666666666666,3.066865935554841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874358
1001,1.2633333333324117,0.01966384160327428,1.2633333333324117,0.01966384160327428,29.883333333333336,2.661140106545815,29.883333333333336,2.661140106545815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1002,1.2516666666667031,0.011690451944755324,1.2516666666667031,0.011690451944755324,28.86666666666667,3.155735519124925,28.86666666666667,3.155735519124925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1003,1.2579999999998108,0.023874672772347793,1.2579999999998108,0.023874672772347793,26.939999999999998,1.1802542099056448,26.939999999999998,1.1802542099056448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373773
1004,1.2516666666660967,0.00983192080135965,1.2516666666660967,0.00983192080135965,27.099999999999998,1.2132600710482484,27.099999999999998,1.2132600710482484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1005,1.25,0.006324555320474819,1.25,0.006324555320474819,27.833333333333332,2.270389100279215,27.833333333333332,2.270389100279215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1006,1.2433333333337941,0.01632993162009911,1.2433333333337941,0.01632993162009911,29.983333333333334,4.037036867142368,29.983333333333334,4.037036867142368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874358
1007,1.2516666666667031,0.007527726527255107,1.2516666666667031,0.007527726527255107,27.066666666666666,0.5887840577551906,27.066666666666666,0.5887840577551906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1008,1.2580000000001745,0.01923538406209121,1.2580000000001745,0.01923538406209121,29.82,3.446302366305081,29.82,3.446302366305081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.1942542347137378
